settlement_id,locality_name,rent_3_rooms,rent_4_rooms,rent_5_rooms
472,אבו גוש,4000,NULL,NULL
473,אבו סנאן,NULL,NULL,NULL
1342,אבו קורינאת (יישוב),NULL,NULL,NULL
1375,אבו תלול,NULL,NULL,NULL
652,אבטין,NULL,NULL,NULL
1275,אבטליון,NULL,NULL,NULL
679,אביאל,NULL,NULL,NULL
1115,אביבים,NULL,NULL,NULL
819,אביגדור,NULL,NULL,NULL
175,אביחיל,NULL,NULL,NULL
2052,אביטל,NULL,NULL,NULL
1070,אביעזר,NULL,NULL,NULL
1220,אבירים,NULL,NULL,NULL
182,אבן יהודה,4500,7900,NULL
1081,אבן מנחם,NULL,NULL,NULL
783,אבן ספיר,NULL,NULL,NULL
400,אבן שמואל,NULL,NULL,NULL
4011,אבני איתן,NULL,NULL,NULL
3793,אבני חפץ,2100,2675,2650
3786,אבנת,NULL,NULL,NULL
1311,אבשלום,NULL,NULL,NULL
3759,אדורה,NULL,NULL,NULL
113,אדירים,NULL,NULL,NULL
1068,אדמית,NULL,NULL,NULL
1123,אדרת,NULL,NULL,NULL
446,אודים,NULL,NULL,NULL
4010,אודם,NULL,NULL,NULL
1046,אוהד,NULL,NULL,NULL
2710,אום אל-פחם,NULL,NULL,NULL
2024,אום אל-קוטוף,NULL,NULL,NULL
1358,אום בטין,NULL,NULL,NULL
1108,אומן,NULL,NULL,NULL
680,אומץ,NULL,NULL,NULL
31,אופקים,2445,2725,5000
1294,אור הגנוז,NULL,NULL,NULL
67,אור הנר,NULL,NULL,NULL
2400,אור יהודה,4725,6000,7213
1020,אור עקיבא,3275,4550,5600
780,אורה,5200,NULL,NULL
1771,אורון,NULL,NULL,NULL
2012,אורות,NULL,NULL,NULL
4013,אורטל,NULL,NULL,NULL
403,אורים,NULL,NULL,NULL
882,אורנים,NULL,NULL,NULL
3760,אורנית,4500,NULL,NULL
278,אושה,NULL,NULL,NULL
565,אזור,4150,5500,6650
1724,אזור תעסוקה משגב(תרדיון),NULL,NULL,NULL
1726,אזור תעשייה אכזיב (מילואות),NULL,NULL,NULL
1701,אזור תעשייה הר-טוב,NULL,NULL,NULL
1727,אזור תעשייה נעמן (מילואות),NULL,NULL,NULL
1157,אחווה,NULL,NULL,NULL
821,אחוזם,NULL,NULL,NULL
1330,אחוזת ברק,NULL,NULL,NULL
785,אחיהוד,NULL,NULL,NULL
850,אחיטוב,NULL,NULL,NULL
804,אחיסמך,NULL,NULL,NULL
797,אחיעזר,NULL,NULL,NULL
338,איבים,NULL,NULL,NULL
716,אייל,NULL,NULL,NULL
77,איילת השחר,NULL,NULL,NULL
294,אילון,NULL,NULL,NULL
1716,אילון תבור*,NULL,NULL,NULL
1126,אילות,NULL,NULL,NULL
49,אילנייה,NULL,NULL,NULL
2600,אילת,3999,5000,7350
1336,אירוס,NULL,NULL,NULL
3762,איתמר,NULL,NULL,NULL
37,איתן,NULL,NULL,NULL
886,איתנים,NULL,NULL,NULL
478,אכסאל,NULL,NULL,NULL
1359,אל סייד,NULL,NULL,NULL
1339,אל -עזי,NULL,NULL,NULL
1316,אל -עריאן,NULL,NULL,NULL
4003,אל -רום,NULL,NULL,NULL
1145,אלומה,NULL,NULL,NULL
330,אלומות,NULL,NULL,NULL
1182,אלון הגליל,NULL,NULL,NULL
3579,אלון מורה,NULL,NULL,NULL
3604,אלון שבות,NULL,NULL,NULL
429,אלוני אבא,NULL,NULL,NULL
4017,אלוני הבשן,NULL,NULL,NULL
868,אלוני יצחק,NULL,NULL,NULL
285,אלונים,NULL,NULL,NULL
1365,אליאב,NULL,NULL,NULL
41,אליכין,NULL,NULL,NULL
4002,אלי-עד,NULL,NULL,NULL
1248,אליפז,NULL,NULL,NULL
730,אליפלט,NULL,NULL,NULL
682,אליקים,NULL,NULL,NULL
204,אלישיב,NULL,NULL,NULL
841,אלישמע,NULL,NULL,NULL
1125,אלמגור,NULL,NULL,NULL
3556,אלמוג,NULL,NULL,NULL
1309,אלעד,4700,5875,6300
3618,אלעזר,NULL,3900,NULL
3750,אלפי מנשה,5000,5700,6350
603,אלקוש,NULL,NULL,NULL
3560,אלקנה,NULL,NULL,NULL
772,אמונים,NULL,NULL,NULL
1064,אמירים,NULL,NULL,NULL
1253,אמנון,NULL,NULL,NULL
23,אמציה,NULL,NULL,NULL
4012,אניעם,NULL,NULL,NULL
3754,אספר,NULL,NULL,NULL
529,אעבלין,NULL,NULL,NULL
4301,אפיק,NULL,NULL,NULL
176,אפיקים,NULL,NULL,NULL
313,אפק,NULL,NULL,NULL
3650,אפרת,3875,5250,NULL
701,ארבל,NULL,NULL,NULL
3598,ארגמן,NULL,NULL,NULL
714,ארז,NULL,NULL,NULL
3570,אריאל,3500,4350,5100
1324,ארסוף,NULL,NULL,NULL
71,אשבול,NULL,NULL,NULL
1276,אשבל,NULL,NULL,NULL
70,אשדוד,4050,5375,6650
199,אשדות יעקב (איחוד),NULL,NULL,NULL
188,אשדות יעקב (מאוחד),NULL,NULL,NULL
1188,אשחר,NULL,NULL,NULL
3722,אשכולות,NULL,NULL,NULL
2021,אשל הנשיא,NULL,NULL,NULL
1152,אשלים,NULL,NULL,NULL
7100,אשקלון,3000,4000,5000
1256,אשרת,NULL,NULL,NULL
740,אשתאול,NULL,NULL,NULL
6000,באקה אל-גרביה,NULL,NULL,NULL
21,באר אורה,NULL,NULL,NULL
1376,באר גנים,NULL,NULL,NULL
155,באר טוביה,NULL,NULL,NULL
2530,באר יעקב,5250,6800,7600
1278,באר מילכה,NULL,NULL,NULL
9000,באר שבע,2575,3450,5124
450,בארות יצחק,NULL,NULL,NULL
697,בארותיים,NULL,NULL,NULL
399,בארי,NULL,NULL,NULL
559,בוסתן הגליל,NULL,NULL,NULL
482,בועיינה-נוג'ידאת,NULL,NULL,NULL
4001,בוקעאתא,NULL,NULL,NULL
698,בורגתה,NULL,NULL,NULL
2043,בחן,NULL,NULL,NULL
762,בטחה,NULL,NULL,NULL
1725,"בי""ס אזורי מקיף (אשר)",NULL,NULL,NULL
234,ביצרון,NULL,NULL,NULL
998,ביר אל-מכסור,NULL,NULL,NULL
1348,ביר הדאג',NULL,NULL,NULL
368,בירייה,NULL,NULL,NULL
317,בית אורן,NULL,NULL,NULL
3574,בית אל,NULL,2900,3825
562,בית אלעזרי,NULL,NULL,NULL
95,בית אלפא,NULL,NULL,NULL
3652,בית אריה-עופרים,NULL,4750,NULL
1076,בית ברל,NULL,NULL,NULL
619,בית גוברין,NULL,NULL,NULL
571,בית גמליאל,NULL,NULL,NULL
480,בית ג'ן,NULL,NULL,NULL
466,בית דגן,4550,NULL,6785
723,בית הגדי,NULL,NULL,NULL
373,בית הלוי,NULL,NULL,NULL
322,בית הלל,NULL,NULL,NULL
572,בית העמק,NULL,NULL,NULL
3645,בית הערבה,NULL,NULL,NULL
242,בית השיטה,NULL,NULL,NULL
353,בית זיד,NULL,NULL,NULL
710,בית זית,NULL,NULL,NULL
143,בית זרע,NULL,NULL,NULL
1712,בית חולים פוריה,NULL,NULL,NULL
3575,בית חורון,NULL,NULL,NULL
877,בית חירות,NULL,NULL,NULL
2033,בית חלקיה,NULL,NULL,NULL
159,בית חנן,NULL,NULL,NULL
800,בית חנניה,NULL,NULL,NULL
1050,בית חשמונאי,NULL,NULL,NULL
288,בית יהושע,NULL,NULL,NULL
265,בית יוסף,NULL,NULL,NULL
200,בית ינאי,NULL,NULL,NULL
326,בית יצחק-שער חפר,NULL,NULL,NULL
430,בית לחם הגלילית,NULL,NULL,NULL
751,בית מאיר,NULL,NULL,NULL
784,בית נחמיה,NULL,NULL,NULL
16,בית ניר,NULL,NULL,NULL
672,בית נקופה,NULL,NULL,NULL
202,בית עובד,NULL,NULL,NULL
301,בית עוזיאל,NULL,NULL,NULL
756,בית עזרא,NULL,NULL,NULL
604,בית עריף,NULL,NULL,NULL
212,בית צבי,NULL,NULL,NULL
598,בית קמה,NULL,NULL,NULL
365,בית קשת,NULL,NULL,NULL
848,בית רבן,NULL,NULL,NULL
1162,בית רימון,NULL,NULL,NULL
9200,בית שאן,1975,2275,NULL
2610,בית שמש,4300,5500,6500
248,בית שערים,NULL,NULL,NULL
747,בית שקמה,NULL,NULL,NULL
252,ביתן אהרן,NULL,NULL,NULL
3780,ביתר עילית,3600,4900,5475
94,בלפוריה,NULL,NULL,NULL
760,בן זכאי,NULL,NULL,NULL
712,בן עמי,NULL,NULL,NULL
1084,בן שמן (כפר נוער),NULL,NULL,NULL
2013,בן שמן (מושב),NULL,NULL,NULL
6100,בני ברק,4600,5700,6500
1368,בני דקלים,NULL,NULL,NULL
592,בני דרום,NULL,NULL,NULL
386,בני דרור,NULL,NULL,NULL
4015,בני יהודה,NULL,NULL,NULL
1363,בני נצרים,NULL,NULL,NULL
448,בני עטרות,NULL,NULL,NULL
1066,"בני עי""ש",3500,4500,NULL
418,בני ציון,NULL,NULL,NULL
588,בני ראם,NULL,NULL,NULL
685,בניה,NULL,NULL,NULL
9800,בנימינה-גבעת עדה,3550,NULL,NULL
1326,"בסמ""ה",NULL,NULL,NULL
944,בסמת טבעון,NULL,NULL,NULL
483,בענה,NULL,NULL,NULL
389,בצרה,NULL,NULL,NULL
589,בצת,NULL,NULL,NULL
864,בקוע,NULL,NULL,NULL
3612,בקעות,NULL,NULL,NULL
823,בר גיורא,NULL,NULL,NULL
1191,בר יוחאי,NULL,NULL,NULL
3744,ברוכין,NULL,NULL,NULL
428,ברור חיל,NULL,NULL,NULL
2060,ברוש,NULL,NULL,NULL
3710,ברכה,NULL,NULL,NULL
746,ברכיה,NULL,NULL,NULL
1728,בר-לב,NULL,NULL,NULL
667,ברעם,NULL,NULL,NULL
141,ברק,NULL,NULL,NULL
617,ברקאי,NULL,NULL,NULL
3654,ברקן,NULL,NULL,NULL
2038,ברקת,NULL,NULL,NULL
1323,בת הדר,NULL,NULL,NULL
1361,בת חן,NULL,NULL,NULL
1319,בת חפר,NULL,NULL,NULL
6200,בת ים,4550,6500,8400
3794,בת עין,NULL,NULL,NULL
33,בת שלמה,NULL,NULL,NULL
872,גאולי תימן,NULL,NULL,NULL
379,גאולים,NULL,NULL,NULL
853,גאליה,NULL,NULL,NULL
352,גבולות,NULL,NULL,NULL
424,גבים,NULL,NULL,NULL
86,גבע,NULL,NULL,NULL
3763,גבע בנימין,3300,NULL,NULL
683,גבע כרמל,NULL,NULL,NULL
2014,גבעולים,NULL,NULL,NULL
3644,גבעון החדשה,NULL,NULL,NULL
1344,גבעות בר,NULL,NULL,NULL
1362,גבעות עדן,NULL,NULL,NULL
1293,גבעת אבני,NULL,NULL,NULL
1288,גבעת אלה,NULL,NULL,NULL
147,גבעת ברנר,NULL,NULL,NULL
870,גבעת השלושה,NULL,NULL,NULL
3730,גבעת זאב,4650,6550,7375
207,"גבעת ח""ן",NULL,NULL,NULL
1740,גבעת חביבה,NULL,NULL,NULL
2018,גבעת חיים (איחוד),NULL,NULL,NULL
173,גבעת חיים (מאוחד),NULL,NULL,NULL
4021,גבעת יואב,NULL,NULL,NULL
787,גבעת יערים,NULL,NULL,NULL
919,גבעת ישעיהו,NULL,NULL,NULL
802,"גבעת כ""ח",NULL,NULL,NULL
360,"גבעת ניל""י",NULL,NULL,NULL
703,גבעת עוז,NULL,NULL,NULL
681,גבעת שמואל,4650,6800,8000
566,גבעת שמש,NULL,NULL,NULL
1077,גבעת שפירא,NULL,NULL,NULL
793,גבעתי,NULL,NULL,NULL
6300,גבעתיים,6250,7500,10250
342,גברעם,NULL,NULL,NULL
133,גבת,NULL,NULL,NULL
35,גדות,NULL,NULL,NULL
1292,ג'דיידה-מכר,NULL,NULL,NULL
145,גדיש,NULL,NULL,NULL
442,גדעונה,NULL,NULL,NULL
2550,גדרה,4725,5000,6250
485,ג'ולס,NULL,NULL,NULL
852,גונן,NULL,NULL,NULL
755,גורן,NULL,NULL,NULL
1219,גורנות הגליל,NULL,NULL,NULL
457,גזית,NULL,NULL,NULL
370,גזר,NULL,NULL,NULL
706,גיאה,NULL,NULL,NULL
196,גיבתון,NULL,NULL,NULL
1043,גיזו,NULL,NULL,NULL
1204,גילון,NULL,NULL,NULL
736,גילת,NULL,NULL,NULL
262,גינוסר,NULL,NULL,NULL
92,גיניגר,NULL,NULL,NULL
863,גינתון,NULL,NULL,NULL
1206,גיתה,NULL,NULL,NULL
3613,גיתית,NULL,NULL,NULL
393,גלאון,NULL,NULL,NULL
627,ג'לג'וליה,NULL,NULL,NULL
3606,גלגל,NULL,NULL,NULL
346,גליל ים,NULL,NULL,NULL
369,גלעד (אבן יצחק),NULL,NULL,NULL
745,גמזו,NULL,NULL,NULL
1072,גן הדרום,NULL,NULL,NULL
225,גן השומרון,NULL,NULL,NULL
239,גן חיים,NULL,NULL,NULL
734,גן יאשיה,NULL,NULL,NULL
166,גן יבנה,3625,5950,6650
1274,גן נר,NULL,NULL,NULL
311,גן שורק,NULL,NULL,NULL
144,גן שלמה,NULL,NULL,NULL
72,גן שמואל,NULL,NULL,NULL
836,גנות,NULL,NULL,NULL
549,גנות הדר,NULL,NULL,NULL
1103,גני הדר,NULL,NULL,NULL
1371,גני טל,NULL,NULL,NULL
862,גני יוחנן,NULL,NULL,NULL
3823,גני מודיעין,NULL,NULL,NULL
218,גני עם,NULL,NULL,NULL
229,גני תקווה,4500,6650,8275
541,ג'סר א-זרקא,NULL,NULL,NULL
842,געש,NULL,NULL,NULL
463,געתון,NULL,NULL,NULL
39,גפן,NULL,NULL,NULL
1129,גרופית,NULL,NULL,NULL
487,ג'ש (גוש חלב),NULL,NULL,NULL
4022,גשור,NULL,NULL,NULL
305,גשר,NULL,NULL,NULL
574,גשר הזיו,NULL,NULL,NULL
628,ג'ת,NULL,NULL,NULL
340,גת (קיבוץ),NULL,NULL,NULL
128,גת רימון,NULL,NULL,NULL
494,דאלית אל-כרמל,NULL,NULL,NULL
146,דבורה,NULL,NULL,NULL
489,דבורייה,NULL,NULL,NULL
849,דביר,NULL,NULL,NULL
407,דברת,NULL,NULL,NULL
62,דגניה א',NULL,NULL,NULL
79,דגניה ב',NULL,NULL,NULL
1067,"דוב""ב",NULL,NULL,NULL
3747,דולב,NULL,NULL,NULL
738,דור,NULL,NULL,NULL
336,דורות,NULL,NULL,NULL
475,דחי,NULL,NULL,NULL
490,דייר אל-אסד,NULL,NULL,NULL
492,דייר חנא,NULL,NULL,NULL
493,דייר ראפאת,NULL,NULL,NULL
2200,דימונה,2300,2500,NULL
2063,דישון,NULL,NULL,NULL
300,דלייה,NULL,NULL,NULL
431,דלתון,NULL,NULL,NULL
1317,דמיידה,NULL,NULL,NULL
303,דן,NULL,NULL,NULL
302,דפנה,NULL,NULL,NULL
1241,דקל,NULL,NULL,NULL
1349,דריג'את,NULL,NULL,NULL
702,האון,NULL,NULL,NULL
675,הבונים,NULL,NULL,NULL
356,הגושרים,NULL,NULL,NULL
191,הדר עם,NULL,NULL,NULL
9700,הוד השרון,5200,6895,8500
1322,הודיות,NULL,NULL,NULL
726,הודייה,NULL,NULL,NULL
1186,הושעיה,NULL,NULL,NULL
250,הזורע,NULL,NULL,NULL
307,הזורעים,NULL,NULL,NULL
434,החותרים,NULL,NULL,NULL
684,היוגב,NULL,NULL,NULL
1208,הילה,NULL,NULL,NULL
377,המעפיל,NULL,NULL,NULL
677,הסוללים,NULL,NULL,NULL
423,העוגן,NULL,NULL,NULL
3769,הר אדר,4250,NULL,NULL
3603,הר גילה,4350,NULL,NULL
1261,הר עמשא,NULL,NULL,NULL
464,הראל,NULL,NULL,NULL
1249,הרדוף,NULL,NULL,NULL
6400,הרצלייה,6000,8000,10000
1203,הררית,NULL,NULL,NULL
3639,ורד יריחו,NULL,NULL,NULL
1133,ורדון,NULL,NULL,NULL
815,זבדיאל,NULL,NULL,NULL
44,זוהר,NULL,NULL,NULL
584,זיקים,NULL,NULL,NULL
788,זיתן,NULL,NULL,NULL
9300,זכרון יעקב,4875,5600,6525
799,זכריה,NULL,NULL,NULL
1290,זמר,NULL,NULL,NULL
1065,זמרת,NULL,NULL,NULL
816,זנוח,NULL,NULL,NULL
2064,זרועה,NULL,NULL,NULL
975,זרזיר,NULL,NULL,NULL
818,זרחיה,NULL,NULL,NULL
235,חבצלת השרון,NULL,NULL,NULL
1110,חבר,NULL,NULL,NULL
717,חגור,NULL,NULL,NULL
3764,חגי,NULL,NULL,NULL
205,חגלה,NULL,NULL,NULL
618,חדיד,NULL,NULL,NULL
4026,חד-נס,NULL,NULL,NULL
6500,חדרה,3500,4500,5850
1321,ח'ואלד,NULL,NULL,NULL
160,חולדה,NULL,NULL,NULL
6600,חולון,4500,5950,7400
1239,חולית,NULL,NULL,NULL
253,חולתה,NULL,NULL,NULL
662,חוסן,NULL,NULL,NULL
1332,חוסנייה,NULL,NULL,NULL
115,חופית,NULL,NULL,NULL
374,חוקוק,NULL,NULL,NULL
1303,חורה,NULL,NULL,NULL
496,חורפיש,NULL,NULL,NULL
355,חורשים,NULL,NULL,NULL
1047,חזון,NULL,NULL,NULL
219,חיבת ציון,NULL,NULL,NULL
3643,חיננית,NULL,NULL,NULL
4000,חיפה,3300,4500,5650
162,חירות,NULL,NULL,NULL
1272,חלוץ,NULL,NULL,NULL
820,חלץ,NULL,NULL,NULL
801,"חמ""ד",NULL,NULL,NULL
993,חמאם,NULL,NULL,NULL
343,חמדיה,NULL,NULL,NULL
3646,חמדת,NULL,NULL,NULL
3609,חמרה,NULL,NULL,NULL
807,חניאל,NULL,NULL,NULL
280,חניתה,NULL,NULL,NULL
1257,חנתון,NULL,NULL,NULL
4005,חספין,NULL,NULL,NULL
363,חפץ חיים,NULL,NULL,NULL
90,חפצי-בה,NULL,NULL,NULL
700,חצב,NULL,NULL,NULL
